"site_code","Site","Date","Turbidity","TSS","ChlA","TC","TN","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","Field_DO_mgL","Field_Cond_µS_cm","Field_Temp_C","Lat","Long","Campaign","location_type","watershed","burn_status","WQ_sensor","flow_gauge_source","flow_gauge_id","distance_upstream_km","Watershed_Level","Buffer_Level","FCW_number","ROSS_number","chla_volume_ml","Year","time_mst","DT_mst_char","data_source"
"PJW","Poudre Above Joe Wright",2024-05-02,1.79,0.82,0.28,,,5.95,0.44,7.19,447.55,52.47,1.82,0.02,1.04,1.27,6.28,0.02,0.66,0.93,0,2.96,9.27,,0.5,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,,47,,2024,09:24:00,"2024-05-02 09:24:00","ROSS"
"PFAL","Poudre below Poudre Falls",2024-05-02,2.37,1.3,0.54,,,5.73,0.42,7.25,553.09,63.18,2.48,0.02,1.09,1.52,7.62,0.02,2,0.89,0,3.49,9.34,,2.4,40.651785,-105.810831,"Mainstem","Stream","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11517",,,,,48,,2024,09:35:00,"2024-05-02 09:35:00","ROSS"
"PBR","Poudre Below Rustic",2024-05-02,3.25,9.61,0.79,,,5.03,0.51,7.33,606.15,76.25,3.13,0.02,1.14,2.11,8.5,0.03,2.16,1.45,0,4.86,9.09,,5.1,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,,49,,2024,10:30:00,"2024-05-02 10:30:00","ROSS"
"LBEA","Little Beaver",2024-05-02,13.32,22.63,0.4,,,4.43,1.12,7.19,564.12,78.81,3.54,0.02,1.05,1.92,7.77,0.02,1.63,3.06,0,7.17,8.34,,4.3,40.624819,-105.532595,"CU Tributary","Stream","CLP Tributary - Upper","Burned","ROSS","RMRS",,54.334,,,,50,,2024,11:15:00,"2024-05-02 11:15:00","ROSS"
"SFM","Poudre South Fork",2024-05-02,9.78,14.9,0.79,,,5.1,0.83,7.22,545.76,69.12,3.53,0.02,0.82,1.93,7.37,0.05,1.62,1.78,0,6.22,8.37,,4.5,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,,51,,2024,11:30:00,"2024-05-02 11:30:00","ROSS"
"PENN","Pennock (Signal Mountain)",2024-05-02,3.74,1.63,0.22,,,4.71,0.38,7.04,422.89,47.46,2.78,0.01,0.72,1.2,4.16,0.04,0.69,0.32,0,3.18,8.53,,2.8,40.57855879,-105.5441506,"CU Tributary","Stream","CLP Tributary - Upper","Partially Burned","ROSS",,,60.791,,,,52,,2024,12:25:00,"2024-05-02 12:25:00","ROSS"
"PSF","Poudre Below S. Fork",2024-05-02,5.71,9.7,0.68,,,5.35,0.76,7.38,618.36,78.82,3.45,0.01,1.06,2.14,8.34,0.03,2.08,1.49,0,5.51,8.46,,6.4,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,,53,,2024,13:38:00,"2024-05-02 13:38:00","ROSS"
"PNF","Poudre Above North Fork",2024-05-02,8.48,13.6,0.86,,,5.26,0.57,7.45,1390.63,155.44,3.57,0.02,1.05,5.25,22.32,0.05,3.31,1.26,0,5.61,8.49,,8.2,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,,54,,2024,14:17:00,"2024-05-02 14:17:00","ROSS"
"PBD","Poudre at Bellvue Diversion",2024-05-03,3.93,10.61,1.05,,,5.05,0.47,7.96,918.22,130.68,4.63,0.03,1.07,4.47,16.39,0.09,6.02,0.96,0,6.18,8.76,,8.5,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,,55,,2024,10:12:00,"2024-05-03 10:12:00","ROSS"
"lincoln","Poudre at Lincoln",2024-05-03,8.71,13.04,1.36,,,5.15,0.53,7.58,1211,159.8,5.3,0.04,1.15,4.92,19.4,0.14,7.05,1.16,0,9.11,8.5,,9.8,40.588073,-105.069231,"Mainstem","Mainstem","CLP Mainstem - Lower","Partially Burned","ROSS","USGS","6752260",,,,,56,,2024,10:54:00,"2024-05-03 10:54:00","ROSS"
"springcreek","Spring Creek at Poudre Trail",2024-05-03,13.06,11.54,2.23,,,3.32,0.83,8.29,5129.66,1006.66,46.27,0.28,2.04,28.17,102.26,0.27,73.41,2.52,0,101.21,9.2,,15.7,40.571137,-105.031363,"CU Tributary","Stream","CLP Tributary - Lower","Unburned","ROSS",,,,,,,57,,2024,11:39:00,"2024-05-03 11:39:00","ROSS"
"boxcreek","Boxelder Creek above Sanitation District",2024-05-03,11.58,7.78,8.31,,,7.33,2.16,8.27,12500.48,2763.33,125.41,0.23,5.41,102.31,243.99,0.44,49.89,7.22,0,580.67,9.85,,13.6,40.552003,-105.004576,"CU Tributary","Stream","CLP Tributary - Lower","Unburned","ROSS","Boxelder Sanitation",,,,,,58,,2024,12:13:00,"2024-05-03 12:13:00","ROSS"
"archery","Poudre at Archery Range",2024-05-03,11.29,16.7,2.48,,,4.99,0.55,7.98,1778.47,375.73,13.64,0.15,1.54,13.98,36.48,0.16,12.88,1.52,0,64.62,8.35,,11.1,40.5479138,-105.0011275,"Mainstem","Mainstem","CLP Mainstem - Lower","Partially Burned","ROSS",,,,,,,59,,2024,12:34:00,"2024-05-03 12:34:00","ROSS"
"PENN","Pennock (Signal Mountain)",2024-05-07,5.21,4.29,0.12,,,5.64,0.24,6.83,216.14,38.27,2.57,0.02,0.72,1.24,4.47,0.04,0.73,0.44,0,3.4,8.98,,1,40.57855879,-105.5441506,"CU Tributary","Stream","CLP Tributary - Upper","Partially Burned","ROSS",,,60.791,,,,60,,2024,08:50:00,"2024-05-07 08:50:00","ROSS"
"SFM","Poudre South Fork",2024-05-07,9.23,7.98,0.63,,,5.23,0.6,7.17,490.4,66.9,2.91,0.03,0.77,1.89,6.86,0.1,1.53,1.67,0,6.13,8.62,,3.1,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,,61,,2024,09:50:00,"2024-05-07 09:50:00","ROSS"
"LBEA","Little Beaver",2024-05-07,7.36,14.12,0.3,,,4.01,0.79,7.16,377.05,67.2,3.03,0.01,0.96,1.85,7.27,0.03,1.52,2.83,0,6.87,8.44,,4.1,40.624819,-105.532595,"CU Tributary","Stream","CLP Tributary - Upper","Burned","ROSS","RMRS",,54.334,,,,62,,2024,10:50:00,"2024-05-07 10:50:00","ROSS"
"PFAL","Poudre below Poudre Falls",2024-05-07,1.19,1.61,0.56,,,5.84,0.33,7.16,448.58,50.09,2.03,0,0.94,1.22,5.44,0.02,1.55,0.81,0,3.16,9.14,,1.6,40.651785,-105.810831,"Mainstem","Stream","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11517",,,,,63,,2024,12:05:00,"2024-05-07 12:05:00","ROSS"
"PBD","Poudre at Bellvue Diversion",2024-05-07,5.39,9.18,1.16,,,5.03,0.43,7.88,826.55,105.65,4.35,0.01,1.04,3.31,12.63,0.08,5.2,0.86,0,5.72,8.31,,9.4,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,,64,,2024,13:55:00,"2024-05-07 13:55:00","ROSS"
"lincoln","Poudre at Lincoln",2024-05-08,8.31,7.94,1.75,,,4.74,0.65,7.62,1034.97,149.19,5.04,0.02,1.1,4.2,17.06,0.08,6.36,1.15,0,10.47,9.04,,6.2,40.588073,-105.069231,"Mainstem","Mainstem","CLP Mainstem - Lower","Partially Burned","ROSS","USGS","6752260",,,,,65,,2024,06:15:00,"2024-05-08 06:15:00","ROSS"
"springcreek","Spring Creek at Poudre Trail",2024-05-08,9.7,10.49,2.61,,,2.87,0.85,8.25,5499.58,1020.77,45.66,0.18,1.67,29.68,106.55,0.28,63.92,2.12,0,106.39,9,,10.2,40.571137,-105.031363,"CU Tributary","Stream","CLP Tributary - Lower","Unburned","ROSS",,,,,,,66,,2024,06:51:00,"2024-05-08 06:51:00","ROSS"
"boxcreek","Boxelder Creek above Sanitation District",2024-05-08,1.88,5,1.9,,,4.86,3.41,8.15,13084.77,2675.39,112.47,0.02,5.65,115.37,246.19,0.5,48.76,12.54,0,520.42,8.22,,8,40.552003,-105.004576,"CU Tributary","Stream","CLP Tributary - Lower","Unburned","ROSS","Boxelder Sanitation",,,,,,67,,2024,07:30:00,"2024-05-08 07:30:00","ROSS"
"archery","Poudre at Archery Range",2024-05-08,5.36,10.1,2.08,,,4.82,0.89,7.92,1481.01,357.8,14.44,0.03,1.52,12.18,33.61,0.16,13.51,1.73,0,68.47,8.5,,7.6,40.5479138,-105.0011275,"Mainstem","Mainstem","CLP Mainstem - Lower","Partially Burned","ROSS",,,,,,,69,,2024,08:15:00,"2024-05-08 08:15:00","ROSS"
"PENN","Pennock (Signal Mountain)",2024-05-15,1.81,0.2,0.27,,,7.26,0.23,6.71,199.7,35.27,2.51,0.01,0.65,1.03,4.27,0.06,0.54,0.24,0,2.56,8.74,,2.9,40.57855879,-105.5441506,"CU Tributary","Stream","CLP Tributary - Upper","Partially Burned","ROSS",,,60.791,,,,70,,2024,08:41:00,"2024-05-15 08:41:00","ROSS"
"SFM","Poudre South Fork",2024-05-15,7.97,12.21,2.11,,,5.21,0.36,7.03,414.62,51.89,2.28,0.01,0.61,1.25,5.04,0.07,0.83,1.02,0,3.51,8.31,,5,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,,71,,2024,09:54:00,"2024-05-15 09:54:00","ROSS"
"LBEA","Little Beaver",2024-05-15,12.05,18.73,0.9,,,4.59,0.67,7.03,324.77,55.71,2.69,0.01,0.88,1.52,6.15,0.03,1.08,2.11,0,4.86,8.37,,4.8,40.624819,-105.532595,"CU Tributary","Stream","CLP Tributary - Upper","Burned","ROSS","RMRS",,54.334,,,,72,,2024,10:19:00,"2024-05-15 10:19:00","ROSS"
"CBRI","Chambers Inlet",2024-05-15,1.85,3.67,0.29,,,5.07,0.87,7.46,553.86,71.18,2.8,0.01,1.08,1.49,8.72,0.03,2.95,2.22,0,2.63,8.32,,2.8,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,,73,,2024,12:05:00,"2024-05-15 12:05:00","ROSS"
"PFAL","Poudre below Poudre Falls",2024-05-15,1.88,2.1,1.22,,,6.84,0.67,6.95,385.53,47.58,1.6,0,0.85,1.08,5.89,0.03,0.87,1.13,0,2.5,8.55,,4,40.651785,-105.810831,"Mainstem","Stream","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11517",,,,,74,,2024,13:03:00,"2024-05-15 13:03:00","ROSS"
"PBR","Poudre Below Rustic",2024-05-15,10.24,21.86,2.43,,,5.96,0.55,7.33,485.1,55.03,2.07,0.01,0.92,1.38,6.11,0.04,1.07,1.36,0,3.23,8.42,,6.4,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,,75,,2024,13:45:00,"2024-05-15 13:45:00","ROSS"
"PBD","Poudre at Bellvue Diversion",2024-05-15,26.51,77.03,5.61,,,5.89,0.4,7.41,580.67,70.78,2.89,0.01,0.95,1.82,7.86,0.07,2.44,1.17,0,3.8,8.23,,9.8,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,,76,,2024,14:40:00,"2024-05-15 14:40:00","ROSS"
"lincoln","Poudre at Lincoln",2024-05-16,36.48,89.5,3.64,,,5.42,0.51,7.61,703.21,98.71,3.89,0.04,1.01,2.62,11.36,0.08,3.58,1.2,0,7.57,8.23,,12.3,40.588073,-105.069231,"Mainstem","Mainstem","CLP Mainstem - Lower","Partially Burned","ROSS","USGS","6752260",,,,,77,,2024,10:43:00,"2024-05-16 10:43:00","ROSS"
"springcreek","Spring Creek at Poudre Trail",2024-05-16,3.16,4.08,1.73,,,4.04,0.71,8.01,4782.34,830.28,34.53,0.07,1.53,22.46,87.72,0.33,53.9,1.7,0,73.1,9.01,,19,40.571137,-105.031363,"CU Tributary","Stream","CLP Tributary - Lower","Unburned","ROSS",,,,,,,78,,2024,11:16:00,"2024-05-16 11:16:00","ROSS"
"boxcreek","Boxelder Creek above Sanitation District",2024-05-16,7.22,10.5,1.47,,,2.96,3.64,8.09,10328.66,2010.28,100.76,0.07,3.95,64.83,195.49,0.71,45.74,13.96,0,339.97,10.49,,17.1,40.552003,-105.004576,"CU Tributary","Stream","CLP Tributary - Lower","Unburned","ROSS","Boxelder Sanitation",,,,,,79,,2024,11:46:00,"2024-05-16 11:46:00","ROSS"
"archery","Poudre at Archery Range",2024-05-16,16.61,26.14,2.48,,,4.96,0.99,8.03,2384.88,560.89,22.98,0.06,2.08,15.78,56.02,0.22,25.59,2.74,0,94.24,7.8,,16.8,40.5479138,-105.0011275,"Mainstem","Mainstem","CLP Mainstem - Lower","Partially Burned","ROSS",,,,,,,80,,2024,13:06:00,"2024-05-16 13:06:00","ROSS"
"COMI","Comanche Inflow",2024-05-17,1.3,1.88,0.27,,,5.55,0.78,7.07,239.57,33.87,1.46,0.02,0.63,0.8,3.74,0.02,0.42,2.48,0,1.84,8.58,,2,40.5858963,-105.6626,"South Fork","Inflow","Comanche Reservoir","Burned",,,,72.236,0.173174601127291,0.45576441102756887,,81,,2024,08:23:00,"2024-05-17 08:23:00","ROSS"
"COMR","Comanche Reservoir",2024-05-17,9.02,10.09,4.85,,,4.26,0.54,7.19,265.41,36.15,1.75,0.02,0.66,0.87,3.97,0.02,0.51,1.92,0,2.21,8.09,,6.5,40.5853086,-105.6455009,"South Fork","Reservoir","Comanche Reservoir","Burned",,,,70.774,0.24966832476956524,0.45576441102756887,,82,,2024,09:00:00,"2024-05-17 09:00:00","ROSS"
"HORI","Hourglass Inflow",2024-05-17,0.29,0.59,0.18,,,4.78,1.26,7.09,229.41,35.6,1.72,0.02,0.74,0.89,3.82,0.03,0.48,4.31,0,2.24,8.39,,2.2,40.5805091,-105.6409321,"South Fork","Inflow","Hourglass Reservoir","Burned",,"Greeley",,61.499,0.05085114281168797,0.40096867936712954,,83,,2024,09:27:00,"2024-05-17 09:27:00","ROSS"
"COMO","Comanche Outflow",2024-05-17,2.64,3.46,3.47,,,3.62,0.66,7.09,262.34,37.57,1.97,0.02,0.7,0.87,3.79,0.02,0.61,2.04,0,2.51,7.5,,6.8,40.5846048,-105.6440011,"South Fork","Outflow","Comanche Reservoir","Burned",,"Greeley",,61.499,0.24966832476956524,0.45576441102756887,,84,,2024,09:41:00,"2024-05-17 09:41:00","ROSS"
"HORR","Hourglass Reservoir",2024-05-17,4.38,3.32,6.97,,,2.46,0.19,7.23,268.41,33.04,1.51,0.04,0.67,0.68,3.6,0.04,0.45,0.04,0,1.67,8.52,,8.9,40.582032,-105.6314023,"South Fork","Reservoir","Hourglass Reservoir","Burned",,,,61.499,0.10162730589431843,0.40096867936712954,,85,,2024,10:11:00,"2024-05-17 10:11:00","ROSS"
"BEAV","Beaver",2024-05-17,1.71,1.39,0.95,,,5.18,0.34,7.38,329.78,44.38,2.44,0.01,0.81,1.11,4.45,0.03,0.76,1.05,0,3.17,7.74,,8.2,40.579336,-105.5940998,"South Fork","Stream","CLP Tributary - Upper","Burned",,,,61.499,,,,86,,2024,10:55:00,"2024-05-17 10:55:00","ROSS"
"PENN","Pennock (Signal Mountain)",2024-05-17,1.48,1.8,0.29,,,7.65,0.27,7.03,328.58,38.47,2.46,0.01,0.77,1.03,3.77,0.05,0.57,0.2,0,2.42,7.95,,6.7,40.57855879,-105.5441506,"CU Tributary","Stream","CLP Tributary - Upper","Partially Burned","ROSS",,,60.791,,,,88,,2024,11:37:00,"2024-05-17 11:37:00","ROSS"
"SFM","Poudre South Fork",2024-05-17,2.82,7.36,1.33,,,5.57,0.46,7.02,376.99,49.77,2.63,0.01,0.75,1.32,5.12,0.08,0.94,0.99,0,3.88,7.47,,10.2,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,,89,,2024,12:09:00,"2024-05-17 12:09:00","ROSS"
"LBEA","Little Beaver",2024-05-17,3.32,8.87,0.8,,,4.24,0.81,7.13,369.41,54.28,2.65,0.02,0.99,1.39,5.7,0.03,1.02,2.25,0,4.51,7.4,,9.9,40.624819,-105.532595,"CU Tributary","Stream","CLP Tributary - Upper","Burned","ROSS","RMRS",,54.334,,,,90,,2024,12:20:00,"2024-05-17 12:20:00","ROSS"
"CBRI","Chambers Inlet",2024-05-20,4.03,7.57,0.2,,,5.69,1.02,7.5,473.21,62.65,2.33,0.02,1.04,1.27,8.09,0.02,1.99,3.28,0,2.34,8.6,,1.9,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,,91,,2024,08:30:00,"2024-05-20 08:30:00","ROSS"
"PFAL","Poudre below Poudre Falls",2024-05-20,1.66,3.2,1.11,,,6.72,0.43,7.03,358.77,43.48,1.5,0.01,0.86,1.05,5.48,0.03,0.72,1.29,0,2.05,8.95,,3.7,40.651785,-105.810831,"Mainstem","Stream","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11517",,,,,92,,2024,09:38:00,"2024-05-20 09:38:00","ROSS"
"PBR","Poudre Below Rustic",2024-05-20,16.09,30.1,1.13,,,6.16,0.54,7.2,380.67,47.09,1.84,0.01,0.98,1.23,5.53,0.03,0.87,1.57,0,2.62,8.22,,6.2,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,,93,,2024,10:30:00,"2024-05-20 10:30:00","ROSS"
"LBEA","Little Beaver",2024-05-20,15.84,29.42,0.69,,,4.61,0.72,7.16,384.21,53.17,2.47,0.01,0.94,1.36,5.94,0.03,0.93,2.62,0,4.06,7.62,,8.6,40.624819,-105.532595,"CU Tributary","Stream","CLP Tributary - Upper","Burned","ROSS","RMRS",,54.334,,,,94,,2024,11:02:00,"2024-05-20 11:02:00","ROSS"
"SFM","Poudre South Fork",2024-05-20,3.34,3.55,1.18,,,6.44,0.41,7.11,368.41,48.42,2.35,0.01,0.69,1.22,5.2,0.07,0.8,1,0,3.34,7.61,,9,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,,95,,2024,11:43:00,"2024-05-20 11:43:00","ROSS"
"PENN","Pennock (Signal Mountain)",2024-05-20,2.2,2.75,0.35,,,9.09,0.27,7.09,319.77,38.83,2.27,0.01,0.67,0.99,3.8,0.05,0.5,0.22,0,2.25,7.82,,6.7,40.57855879,-105.5441506,"CU Tributary","Stream","CLP Tributary - Upper","Partially Burned","ROSS",,,60.791,,,,96,,2024,12:23:00,"2024-05-20 12:23:00","ROSS"
"PBD","Poudre at Bellvue Diversion",2024-05-20,23.41,46.93,1.85,,,6.06,0.49,7.34,462.2,59.6,2.54,0.01,0.92,1.57,6.9,0.05,1.97,1.35,0,3.11,8.15,,10.1,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,,97,,2024,14:10:00,"2024-05-20 14:10:00","ROSS"
"lincoln","Poudre at Lincoln",2024-05-21,51.38,90.69,3.32,,,5.86,0.46,7.28,541,70.06,2.79,0.03,1,1.74,7.88,0.05,2.14,1.34,0,4.39,8.2,,10.1,40.588073,-105.069231,"Mainstem","Mainstem","CLP Mainstem - Lower","Partially Burned","ROSS","USGS","6752260",,,,,98,,2024,07:45:00,"2024-05-21 07:45:00","ROSS"
"springcreek","Spring Creek at Poudre Trail",2024-05-21,17.92,10.69,2.16,,,7.47,0.82,7.91,5409.78,710.28,29.89,0.18,1.44,21.21,82.31,0.11,11.69,2.04,0,68.34,6.77,,12.9,40.571137,-105.031363,"CU Tributary","Stream","CLP Tributary - Lower","Unburned","ROSS",,,,,,,99,,2024,08:13:00,"2024-05-21 08:13:00","ROSS"
"boxcreek","Boxelder Creek above Sanitation District",2024-05-21,4.31,10.1,1.23,,,5.87,0.56,7.74,9309.78,1794.79,78.54,0.04,1.15,58.3,178.34,0.57,33.81,1.54,0,320.12,8.91,,12.5,40.552003,-105.004576,"CU Tributary","Stream","CLP Tributary - Lower","Unburned","ROSS","Boxelder Sanitation",,,,,,100,,2024,09:02:00,"2024-05-21 09:02:00","ROSS"
"archery","Poudre at Archery Range",2024-05-21,37.42,83.27,3.23,,,4.05,0.96,8.05,1201.31,357.52,13.21,0.04,3.66,11.21,32.11,0.64,20.62,2.08,0,63.41,7.93,,10.9,40.5479138,-105.0011275,"Mainstem","Mainstem","CLP Mainstem - Lower","Partially Burned","ROSS",,,,,,,101,,2024,09:38:00,"2024-05-21 09:38:00","ROSS"
"PBD","Poudre at Bellvue Diversion",2024-05-23,11.34,39.18,1.06,,,5.19,0.47,7.21,460.57,63.48,2.74,0.01,0.87,1.64,8.13,0.09,2.2,1.12,0,3.21,8.73,,7.3,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,,102,,2024,07:00:00,"2024-05-23 07:00:00","ROSS"
"PMAN","Poudre at Manner's Bridge",2024-05-23,9.97,27.9,0.85,,,4.93,0.46,7.03,261.7,51.38,2.79,0,0.6,1.41,6.41,0.07,1.51,1.4,0,3.16,8.87,,6.1,,,,,,,,,,,,,,103,,2024,07:26:00,"2024-05-23 07:26:00","ROSS"
"PBR","Poudre Below Rustic",2024-05-23,4.71,18.6,0.78,,,5.51,0.44,7.28,398.37,50.83,2.03,0.02,0.91,1.33,5.97,0.02,0.91,1.46,0,2.86,8.75,,4.5,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,,104,,2024,08:06:00,"2024-05-23 08:06:00","ROSS"
"PFAL","Poudre below Poudre Falls",2024-05-23,2.5,2.45,1.11,,,6.23,0.46,6.94,353.6,45.84,1.63,0.01,0.85,1.12,5.57,0.02,0.75,1.22,0,2.3,8.95,,3,40.651785,-105.810831,"Mainstem","Stream","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11517",,,,,105,,2024,08:38:00,"2024-05-23 08:38:00","ROSS"
"JOEI","Joe Wright Inlet",2024-05-23,1.44,4.9,0.14,,,3.4,0.21,7.37,564.13,70.63,2.37,0.01,0.8,1.72,7.15,0.05,2.49,0.42,0,4.55,8.45,,0.5,40.54013102,-105.8831698,"Chambers Complex","Inflow","Joe Wright Reservoir","Unburned","ROSS","USGS","6746095",95.264,0,0.006530548628428928,,106,,2024,09:43:00,"2024-05-23 09:43:00","ROSS"
"CBRI","Chambers Inlet",2024-05-23,1.36,3.7,0.24,,,4.36,0.94,7.38,470.66,64.22,2.47,0.02,1.03,1.33,7.21,0.02,1.93,3.22,0,2.58,8.2,,3.1,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,,107,,2024,10:14:00,"2024-05-23 10:14:00","ROSS"
"BMD","Barnes Meadow Outflow",2024-05-23,2.61,3.3,4.72,,,7.02,0.3,7.31,500.79,64.33,2.06,0.02,1.16,1.23,8.14,0.02,1.15,0.05,0,3.68,7.52,,6.1,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,,108,,2024,10:30:00,"2024-05-23 10:30:00","ROSS"
"BRNR","Barnes Meadow Reservoir",2024-05-23,2.35,3.5,5.22,,,6.78,0.27,7.13,520.89,62.94,2.06,0.01,1.15,1.2,8.21,0.02,1.15,0.03,0,3.65,7.59,,7,40.599908,-105.830604,"Chambers Complex","Reservoir","Barnes Meadow Reservoir","Burned",,,,85.149,0.4490768485927012,0.1845300397739167,,109,,2024,10:48:00,"2024-05-23 10:48:00","ROSS"
"CBRR","Chambers Reservoir",2024-05-23,3.09,6.4,1.75,,,3.89,0.36,7.17,451.34,57.41,1.88,0.01,0.96,1.34,7.29,0.02,1.12,0.97,0,2.78,7.92,,4.3,40.603457,-105.845931,"Chambers Complex","Reservoir","Chambers Reservoir","Burned",,,"na",87.814,0.19135067209931075,0.3299053356282272,,110,,2024,11:08:00,"2024-05-23 11:08:00","ROSS"
"CHD","Chambers Outflow",2024-05-23,4.44,2.56,1.55,,,4.21,0.37,7.23,462.98,57.6,2.41,0.01,0.56,1.37,7.2,0.05,1.35,0.93,0,2.78,8.08,,3.8,40.60233229,-105.8427286,"Chambers Complex","Outflow","Chambers Reservoir","Burned","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,,111,,2024,11:42:00,"2024-05-23 11:42:00","ROSS"
"PENN","Pennock (Signal Mountain)",2024-05-28,2.88,0.7,0.2,,,6.52,0.24,6.93,293.88,33.99,2.11,0.01,0.61,0.84,3.51,0.05,0.42,0.21,0,1.93,8.68,,2.5,40.57855879,-105.5441506,"CU Tributary","Stream","CLP Tributary - Upper","Partially Burned","ROSS",,,60.791,,,,112,,2024,08:12:00,"2024-05-28 08:12:00","ROSS"
"SFM","Poudre South Fork",2024-05-28,4.7,9,2.48,,,5.3,0.54,6.99,295.62,39.01,2.18,0.01,0.65,1.04,4.33,0.05,0.63,1.07,0,2.71,7.81,,7.2,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,,113,,2024,09:15:00,"2024-05-28 09:15:00","ROSS"
"LBEA","Little Beaver",2024-05-28,2.89,16.8,0.37,,,4.28,0.74,6.96,357.6,52.1,2.53,0.01,0.9,1.32,5.42,0.02,0.86,2.63,0,3.8,7.96,,7.2,40.624819,-105.532595,"CU Tributary","Stream","CLP Tributary - Upper","Burned","ROSS","RMRS",,54.334,,,,114,,2024,09:46:00,"2024-05-28 09:46:00","ROSS"
"JOEI","Joe Wright Inlet",2024-05-28,1.76,1.55,0.1,,,4.12,0.56,7.22,499.35,64.33,2.38,0.01,0.74,1.7,7.37,0.04,2.6,0.3,0,3.79,7.76,,3.3,40.54013102,-105.8831698,"Chambers Complex","Inflow","Joe Wright Reservoir","Unburned","ROSS","USGS","6746095",95.264,0,0.006530548628428928,,115,,2024,11:10:00,"2024-05-28 11:10:00","ROSS"
"CBRI","Chambers Inlet",2024-05-28,1.89,2.9,0.42,,,4.11,0.69,7.23,386.01,54.66,2.19,0.01,0.94,1.22,6.71,0.02,1.56,2.18,0,2.75,7.9,,5.7,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,,117,,2024,11:54:00,"2024-05-28 11:54:00","ROSS"
"CHD","Chambers Outflow",2024-05-28,2.55,2.5,3.09,,,3.76,0.32,7.31,423.08,55.25,1.9,0.01,0.97,1.35,7.04,0.02,1.08,0.82,0,2.76,7.88,,6.3,40.60233229,-105.8427286,"Chambers Complex","Outflow","Chambers Reservoir","Burned","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,,118,,2024,12:22:00,"2024-05-28 12:22:00","ROSS"
